wage,educ,exper,tenure,married,black,south,urban
550,12,14,13,1,0,1,0
606,11,13,11,1,0,1,0
425,10,7,1,1,0,1,0
340,14,4,1,1,0,1,1
692,12,16,9,1,0,1,1
575,12,11,9,1,0,1,0
571,9,15,10,1,0,1,0
817,16,11,9,1,0,1,1
987,12,11,5,1,0,1,0
616,12,16,18,1,0,1,1
1026,16,12,1,1,0,0,1
808,12,4,3,1,0,0,1
808,17,8,0,1,0,1,1
788,12,13,5,1,0,1,1
850,12,6,2,1,0,0,1
900,12,10,19,1,0,1,1
1418,12,19,20,1,0,1,1
260,12,21,0,1,1,1,0
662,14,7,2,1,1,1,0
562,13,4,1,1,0,1,0
562,12,11,5,1,0,1,0
357,13,5,2,1,0,1,1
1009,16,11,12,1,0,1,0
1442,12,17,17,1,0,1,1
651,11,11,2,1,1,0,1
750,12,14,5,1,1,1,0
754,12,13,14,1,1,1,0
700,12,17,9,1,1,1,0
503,11,11,2,0,1,0,1
937,12,14,15,1,0,1,0
624,10,18,10,1,0,1,0
750,12,4,10,1,1,1,0
900,14,1,8,1,1,1,0
540,10,12,10,1,1,1,0
642,13,9,3,1,0,1,0
400,15,6,10,0,0,1,0
900,10,15,14,1,0,1,0
513,16,8,10,1,0,1,0
894,18,7,10,1,0,1,0
1282,18,7,5,1,0,1,1
485,12,10,9,0,0,1,0
325,12,11,5,1,0,1,0
769,12,16,5,1,0,1,0
618,14,6,8,0,0,1,1
1040,12,16,17,1,0,1,1
751,12,15,4,1,0,1,1
380,12,15,11,1,0,1,0
300,12,16,3,1,1,1,1
753,10,21,7,1,0,1,1
1065,16,10,11,1,0,1,1
1070,12,13,1,1,0,0,1
1573,18,7,8,1,0,1,1
650,10,14,9,1,0,1,0
700,12,15,7,1,0,1,0
494,12,16,4,1,1,1,0
890,12,4,8,1,0,1,0
520,10,15,12,1,0,1,0
891,12,16,16,1,0,1,0
570,12,11,12,1,0,0,1
1444,15,11,1,1,0,1,1
481,12,14,2,0,1,0,1
500,12,21,12,1,0,1,0
1473,16,15,15,1,0,1,0
803,13,4,1,1,0,1,1
962,16,7,2,1,0,1,1
1000,12,9,5,1,0,1,1
600,16,5,4,1,0,1,1
450,11,12,2,1,0,1,0
629,12,6,1,1,1,1,0
492,12,15,2,1,1,1,0
1562,17,7,2,1,0,1,1
357,14,6,3,1,0,1,0
960,13,14,13,1,0,1,1
566,16,5,2,1,0,1,0
481,12,9,2,1,0,1,0
1442,16,8,10,1,0,1,1
645,12,11,3,1,0,1,0
788,11,15,6,1,1,1,0
644,12,11,5,1,0,1,0
477,12,9,3,1,0,1,0
664,16,10,9,1,1,1,1
520,16,6,1,1,1,1,0
1202,13,10,3,1,0,1,1
538,12,12,10,1,1,1,0
873,12,12,12,1,0,1,0
1000,12,17,18,1,0,1,0
